nome	squadra	ruolo	qt	ia	fascia	note	valore	sos	prezzoMedioAste	prezzoStat	prezzoGolMax	fv	pg	media	fmedia	gol	assist	amm	golSubiti	accoppiata
Odenthal	Sassuolo	D	3	56.34			titolare		1.25	Prezzo N.D.										Inter Parma Bologna
Tchato	Frosinone	D	3	56.34					1.05	Prezzo N.D.										Atalanta Como Napoli
Kambwala	Como	D	3	56.34					0.9	Prezzo N.D.										Fiorentina Frosinone Genoa
Goglichidze	Monza	D	2	49.12			Scommessa		0.5	Prezzo N.D.										Lecce Venezia Atalanta
Alhassane	Bologna	D	2	49.12					1.25	Prezzo N.D.										Atalanta Lecce Napoli
Van Der Brempt	Sassuolo	D	2	49.12		Mod.	titolare	Infortuni	1.25	1.24	0	0.5	14	5.96	5.96	0	1	2		Inter Parma Bologna
Otoa	Genoa	D	2	49.12					1	1.12	0	0.46	10	5.6	5.35	0	0	1		Juventus Bologna Como
Puczka	Genoa	D	2	49.12			Scommessa		1.15	Prezzo N.D.										Juventus Bologna Como
Sabelli	Genoa	D	2	49.12		Mod.	Scommessa	Bonus	1.05	1.21	0	0.49	13	5.81	5.65	0	0	0		Juventus Bologna Como
Lazzari	Lazio	D	2	49.12		Cartellini	Scommessa	Bonus	1.05	1.24	0	0.51	17	5.79	5.74	0	0	2		Roma Genoa Torino
Pellegrini Lu.	Lazio	D	2	49.12		Cartellini	Scommessa	Infortuni	1	1.35	4.41	0.55	24	5.85	5.81	1	0	8		Roma Genoa Torino
Jean	Lecce	D	2	49.12		Mod.			1.95	1.1	0	0.45	5	5.8	5.7	0	0	1		Parma Bologna Fiorentina
Ndaba	Lecce	D	2	49.12			Scommessa		1.1	1.12	0	0.46	9	5.5	5.5	0	0	0		Parma Bologna Fiorentina
Diawara S.	Milan	D	2	49.12					1	Prezzo N.D.										Inter Parma Cagliari
Bakoune	Monza	D	2	49.12			Scommessa		1.05	Prezzo N.D.										Lecce Venezia Atalanta
Marin R.	Napoli	D	2	49.12		Inaffidabile	jolly	Scommessa	1.6	Prezzo N.D.										Roma Bologna Frosinone
Ndiaye	Parma	D	2	49.12			Scommessa	Cartellini	1.05	1.05	0	0.43	11	5.59	5.36	0	0	3		Lecce Sassuolo Milan
Biraghi	Torino	D	2	49.12					0.95	1.16	0	0.47	11	5.59	5.59	0	0	0		Juventus Lazio Lecce
Abankwah	Udinese	D	2	49.12		Mod.	jolly		1.1	Prezzo N.D.										Genoa Lecce Milan
Sagrado	Venezia	D	2	49.12					1.3	Prezzo N.D.										Cagliari Monza Bologna
Aurelio	Cagliari	D	2	49.12					1	Prezzo N.D.										Atalanta Fiorentina Venezia
Cinquegrano	Sassuolo	D	2	49.12		Scommessa	titolare	Inaffidabile	1.2	Prezzo N.D.										Inter Parma Bologna
Terracciano F.	Milan	D	2	49.12		Mod.	Scommessa		1.5	Prezzo N.D.										Inter Parma Cagliari
Lulli	Roma	D	2	49.12		Scommessa	jolly	Bonus	2.2	Prezzo N.D.										Lazio Napoli Juventus
Drobnic	Parma	D	2	49.12		Scommessa	titolare		0.95	Prezzo N.D.										Lecce Sassuolo Milan
De Silvestri	Bologna	D	1	35.69		Jolly			0.8	0.43	0	0.48	10	6.05	5.95	0	0	2		Atalanta Lecce Napoli
Goldaniga	Como	D	1	35.69		Inaffidabile		Cartellini	0.9	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Fiorentina Frosinone Genoa
Amey	Frosinone	D	1	35.69					0.95	Prezzo N.D.										Atalanta Como Napoli
Rugani	Juventus	D	1	35.69		Affidabile		Scommessa	1	0.4	0	0.45	8	5.69	5.56	0	0	2		Torino Genoa Roma
Cabal	Juventus	D	1	35.69		Jolly	Scommessa		1	0.49	8.82	0.55	9	5.94	6.56	2	0	1		Torino Genoa Roma
Patric	Lazio	D	1	35.69					0.85	0.42	0	0.47	10	5.85	5.75	0	0	2		Roma Genoa Torino
Antov	Monza	D	1	35.69					0.95	Prezzo N.D.										Lecce Venezia Atalanta
Marianucci	Napoli	D	1	35.69			Scommessa		1	0.42	0	0.48	11	5.73	5.73	0	1	2		Roma Bologna Frosinone
Mazzocchi	Venezia	D	1	35.69		Infortuni	Scommessa	Jolly	1.25	0.41	0	0.46	9	5.94	5.94	0	1	0		Cagliari Monza Bologna
Carboni F.	Parma	D	1	35.69					0.95	0.4	0	0.45	2	6	6	0	0	0		Lecce Sassuolo Milan
Ziolkowski	Monza	D	1	35.69		Mod.	titolare	Jolly	1.05	0.41	0	0.47	9	5.94	5.78	0	0	3		Lecce Venezia Atalanta
Pieragnolo	Sassuolo	D	1	35.69					0.95	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Inter Parma Bologna
Gomes	Venezia	D	1	35.69					0.85	Prezzo N.D.										Cagliari Monza Bologna
Omar Fayed	Frosinone	D	1	35.69					0.85	Prezzo N.D.										Atalanta Como Napoli
Maye	Monza	D	1	35.69					0.85	Prezzo N.D.										Lecce Venezia Atalanta
Dembelè A.	Lecce	D	1	35.69			Scommessa		1	Prezzo N.D.										Parma Bologna Fiorentina
Paz N.	Como	C	29	88.16		Affidabile	Top	Titolare	83.15	59.48	42.79	0.93	35	6.37	7.3	12	5	5		Fiorentina Frosinone Genoa
Calhanoglu	Inter	C	28	87.36		Titolare	Top	Calci Piazzati	73.9	49.72	32.09	0.81	22	6.52	7.64	9	4	7		Milan Sassuolo Juventus
McTominay	Napoli	C	27	86.94		Affidabile	Top	Bonus	75.55	51.87	35.66	0.88	33	6.39	7.26	10	2	1		Roma Bologna Frosinone
Orsolini	Bologna	C	25	85.5		Calci Piazzati	Top	Bonus	61.3	45.79	35.66	0.86	34	6.06	6.76	10	1	2		Atalanta Lecce Napoli
Pulisic	Milan	C	24	84.96		Titolare	Top	Bonus	59.3	41.87	28.52	0.82	27	6.15	7.07	8	4	0		Inter Parma Cagliari
Rabiot	Milan	C	23	84.18		Affidabile	Semi-Top	Bonus	44.2	34.49	21.39	0.71	29	6.33	6.98	6	4	4		Inter Parma Cagliari
Baturina	Como	C	20	82.2		Bonus	Top	Affidabile	51.5	29.94	21.39	0.73	25	6.3	7.14	6	3	0		Fiorentina Frosinone Genoa
Mora	Roma	C	20	82.2		Affidabile	Semi-Top	Bonus	41.35	Prezzo N.D.										Lazio Napoli Juventus
Da Cunha	Como	C	18	80.64		Bonus	Semi-Top	Cartellini	33.35	29.67	21.39	0.82	35	6.34	6.91	6	4	4		Fiorentina Frosinone Genoa
Barella	Inter	C	18	80.64		Titolare	Semi-Top	Affidabile	30.7	26.21	10.7	0.72	34	6.28	6.71	3	9	7		Milan Sassuolo Juventus
Zaniolo	Udinese	C	18	80.64		Infortuni	Semi-Top	Cartellini	29.55	25.94	17.83	0.71	31	6.26	6.77	5	5	8		Genoa Lecce Milan
McKennie	Juventus	C	17	79.9		Affidabile	Semi-Top	Bonus	26.85	25.15	17.83	0.74	34	6.13	6.68	5	6	5		Torino Genoa Roma
De Bruyne	Napoli	C	17	79.9		Affidabile	Semi-Top	Bonus	40.3	24.17	17.83	0.71	17	6.26	7.24	5	2	1		Roma Bologna Frosinone
Zaccagni	Lazio	C	16	79.2		Titolare	Semi-Top	Calci Piazzati	41.15	19.86	10.7	0.63	26	5.88	5.96	3	0	6		Roma Fiorentina Torino
Atta	Fiorentina	C	15	78.3		Affidabile	Semi-Top	Titolare	35	21.52	17.83	0.73	32	6.36	6.88	5	3	3		Cagliari Como Lazio
Samardzic	Atalanta	C	13	76.44		Bonus	Terza	Affidabile	20.65	14.86	7.13	0.6	21	5.93	6.29	2	2	1		Frosinone, Bologna Cagliari
Conceicao	Juventus	C	13	76.44		Bonus	Semi-Top	Affidabile	34.05	17.22	10.7	0.69	30	6.28	6.7	3	5	3		Torino Genoa Roma
Taylor K.	Lazio	C	13	76.44		Affidabile	Terza	Titolare	15.85	14.67	10.7	0.59	17	6.06	6.56	3	2	5		Roma Fiorentina Torino
Vlasic	Torino	C	13	76.44		Bonus	Semi-Top	Rigorista	32.3	20.6	28.52	0.83	37	6.03	6.66	8	3	7		Juventus Lazio Lecce
Goncalves P.	Fiorentina	C	12	75.48		Scommessa	Semi-Top	Bonus	16	Prezzo N.D.										Cagliari Como Lazio
Ederson D.S.	Atalanta	C	12	75.48		Affidabile	Terza	Titolare	18.85	15.76	7.13	0.7	30	6.25	6.43	2	1	3		Frosinone, Bologna Cagliari
Gudmundsson A.	Lazio	C	12	75.48		Bonus	Semi-Top	Affidabile	18.65	16.43	17.83	0.73	32	5.88	6.34	5	3	4		Roma Fiorentina Torino
Zielinski	Inter	C	12	75.48		Bonus	Semi-Top	Rigorista	26.75	17.62	21.39	0.78	30	6.25	6.8	6	2	3		Milan Sassuolo Juventus
Modric	Milan	C	12	75.48		Affidabile	Terza	Titolare	12.4	15.44	7.13	0.68	33	6.45	6.67	2	3	4		Inter Parma Cagliari
Ekkelenkamp	Udinese	C	12	75.48		Affidabile	Semi-Top	Bonus	20.15	16.26	17.83	0.72	31	6.05	6.61	5	3	1		Genoa Lecce Milan
Jones C.	Inter	C	12	75.48		Scommessa	Scomm.	Bonus	15.85	Prezzo N.D.										Milan Sassuolo Juventus
Gonzalez N.	Juventus	C	12	75.48		Infortuni	Semi-Top	Subentrante	11.4	Prezzo N.D.										Torino Genoa Roma
Kessiè	Atalanta	C	12	75.48		Scommessa	Terza	Bonus	16.8	Prezzo N.D.										Frosinone, Bologna Cagliari
Rodriguez Je.	Como	C	11	74.47		Bonus	Scomm.	Affidabile	8.8	13.42	7.13	0.66	28	6.25	6.66	2	8	3		Fiorentina Frosinone Genoa
Baldanzi	Genoa	C	11	74.47		Affidabile	Terza	Bonus	10.8	11.59	3.57	0.57	17	6.15	6.38	1	2	2		Juventus Bologna Como
Alajbegovic	Juventus	C	11	74.47		Bonus	Semi-Top	Scommessa	28.5	Prezzo N.D.										Torino Genoa Roma
Saelemaekers	Milan	C	11	74.47		Infortuni	Terza	Affidabile	10.75	14.11	10.7	0.69	35	6.14	6.41	3	3	5		Inter Parma Cagliari
Mastantuono	Fiorentina	C	11	74.47		Bonus	Semi-Top	Scommessa	36.15	Prezzo N.D.										Cagliari Como Lazio
Moreira	Milan	C	11	74.47		Scommessa	Scomm.	Bonus	19.55	Prezzo N.D.										Inter Parma Cagliari
Bernardeschi	Bologna	C	10	73.3		Bonus	Terza	Infortuni	10.95	12.83	14.26	0.7	24	6.04	6.56	4	2	3		Atalanta Lecce Napoli
Rowe	Atalanta	C	10	73.3		Bonus	Semi-Top	Infortuni	23.1	12.27	10.7	0.67	28	6.2	6.59	3	3	2		Frosinone, Bologna Cagliari
Perrone	Como	C	10	73.3		Cartellini	Quarta	Affidabile	5.5	12.7	10.7	0.69	36	6.22	6.47	3	4	8		Fiorentina Frosinone Genoa
Frattesi	Lazio	C	10	73.3		Titolare	Semi-Top	Bonus	30.15	9.32	0	0.51	14	5.89	5.89	0	0	0		Roma Fiorentina Torino
Zambo Anguissa	Napoli	C	10	73.3		Affidabile	Scomm.	Bonus	11.3	11.59	14.26	0.63	18	6.17	6.86	4	1	1		Roma Bologna Frosinone
Vergara	Napoli	C	10	73.3		Scommessa	Scomm.	Affidabile	8.8	9.41	3.57	0.51	8	6.25	6.5	1	0	2		Roma Bologna Frosinone
Konè M.	Roma	C	10	73.3		Cartellini	Terza	Affidabile	17.05	12.07	7.13	0.66	29	6.26	6.53	2	3	2		Lazio Napoli Juventus
Thorstvedt	Sassuolo	C	10	73.3		Bonus	Scomm.	Infortuni	3.9	12.33	14.26	0.67	31	6.15	6.48	4	3	9		Inter Parma Bologna
Diouf	Inter	C	9	72		Scommessa	Semi-Top	Bonus	15.9	8.48	3.57	0.52	10	6.15	6.45	1	0	1		Milan Sassuolo Juventus
Sucic P.	Inter	C	9	72		Bonus	Scomm.	Subentrante	5.95	10.11	7.13	0.62	28	6.07	6.27	2	2	5		Milan Sassuolo Juventus
Locatelli	Juventus	C	9	72		Cartellini	Quarta	Affidabile	4.05	11.16	3.57	0.69	36	6.26	6.19	1	2	9		Torino Genoa Roma
Thuram K.	Juventus	C	9	72		Affidabile		Cartellini	6.35	11.14	10.7	0.69	34	6.1	6.4	3	2	2		Torino Genoa Roma
Cancellieri	Lazio	C	9	72		Scommessa	Scomm.	Subentrante	2.45	10.44	14.26	0.64	28	5.93	6.29	4	1	6		Roma Fiorentina Torino
Isaksen	Lazio	C	9	72		Bonus	Scomm.	Subentrante	6.45	11.18	17.83	0.69	27	6.04	6.63	5	1	0		Roma Fiorentina Torino
Colpani	Monza	C	9	72		Bonus	Quarta		5.05	Prezzo N.D.										Lecce Venezia Atalanta
Politano	Napoli	C	9	72		Affidabile	Scomm.	Bonus	15.1	10.92	7.13	0.67	33	6.09	6.36	2	5	4		Roma Bologna Frosinone
Cristante	Roma	C	9	72		Cartellini	Quarta	Bonus	3.35	10.73	7.13	0.66	37	6.11	6.22	2	1	6		Lazio Napoli Juventus
Volpato	Sassuolo	C	9	72		Subentrante	Scomm.	Infortuni	3.65	9.9	7.13	0.61	21	6.14	6.52	2	4	4		Inter Parma Bologna
Casadei	Torino	C	9	72		Inaffidabile	Quarta	Subentrante	6.7	11.38	21.39	0.7	32	5.97	6.45	6	0	5		Juventus Lazio Lecce
Pellegrini Lo.	Roma	C	9	72		Infortuni		Inaffidabile	1.8	Prezzo N.D.										Lazio Napoli Juventus
Mbangula	Bologna	C	8	70.48		Scommessa	Terza	Affidabile	1.95	Prezzo N.D.										Atalanta Lecce Napoli
Pasalic	Atalanta	C	8	70.48		Bonus	Scomm.	Scommessa	3.1	9.38	10.7	0.67	31	5.94	6.27	3	3	3		Frosinone, Bologna Cagliari
Odgaard	Bologna	C	8	70.48		Bonus	Scomm.	Inaffidabile	2.65	9.24	17.83	0.66	22	5.91	6.61	5	1	1		Atalanta Lecce Napoli
Cambiaghi	Bologna	C	8	70.48		Subentrante	Scomm.	Infortuni	2.85	8.66	10.7	0.61	24	5.98	6.42	3	4	3		Atalanta Lecce Napoli
Mandragora	Torino	C	8	70.48		Affidabile	Quarta	Cartellini	2.9	11.14	24.96	0.79	34	6.04	6.62	7	2	7		Juventus Lazio Lecce
Calò	Frosinone	C	8	70.48		Titolare	Terza	Rigorista	7.35	Prezzo N.D.										Atalanta Como Napoli
Chukwueze	Milan	C	8	70.48		Bonus	Scomm.	Subentrante	9.3	5.89	0	0.42	1	5.5	5.5	0	0	0		Inter Parma Cagliari
Lobotka	Napoli	C	8	70.48		Affidabile	Titolare		2.95	8.66	3.57	0.61	31	6.05	6.1	1	0	3		Roma Bologna Frosinone
Konè I.	Sassuolo	C	8	70.48		Scommessa	Scomm.		1.4	10.04	21.39	0.71	35	6.19	6.63	6	0	3		Inter Parma Bologna
Schmid	Frosinone	C	8	70.48		Scommessa	Quarta	Bonus	2.1	Prezzo N.D.										Atalanta Como Napoli
Hutchinson	Milan	C	8	70.48		Scommessa	Scomm.	Bonus	2.8	Prezzo N.D.										Inter Parma Cagliari
Gaetano	Atalanta	C	7	68.81		Infortuni	Quarta	Affidabile	6.95	7.96	7.13	0.66	32	6.06	6.31	2	4	4		Frosinone, Bologna Cagliari
Zalewski	Atalanta	C	7	68.81		Subentrante	Scomm.	Bonus	2.75	8.05	7.13	0.67	31	6.1	6.4	2	5	3		Frosinone, Bologna Cagliari
Ferguson	Bologna	C	7	68.81		Infortuni	Titolare	Affidabile	1.95	6.31	3.57	0.52	23	5.8	5.78	1	0	5		Atalanta Lecce Napoli
Adopo	Cagliari	C	7	68.81			Titolare		1.3	7.72	3.57	0.64	38	5.83	5.88	1	1	4		Atalanta Fiorentina Venezia
Romano	Cagliari	C	7	68.81		Titolare	Quarta	Bonus	2.1	Prezzo N.D.										Atalanta Fiorentina Venezia
Fagioli	Fiorentina	C	7	68.81		Cartellini	Quarta	Bonus	1.85	7.87	7.13	0.65	33	6.03	6.23	2	3	5		Cagliari Como Lazio
Ndour	Fiorentina	C	7	68.81		Scommessa	Scomm.		3.55	7.68	10.7	0.64	30	5.8	6.07	3	0	2		Cagliari Como Lazio
Frendrup	Genoa	C	7	68.81			Titolare	Affidabile	1.6	7.55	3.57	0.63	36	5.96	5.97	1	0	5		Juventus Bologna Como
Koopmeiners	Juventus	C	7	68.81		Inaffidabile			1.7	6.66	0	0.55	29	5.64	5.55	0	0	5		Torino Genoa Roma
Rovella	Lazio	C	7	68.81		Cartellini		Affidabile	1.35	5.48	0	0.45	11	5.73	5.64	0	1	2		Roma Fiorentina Torino
Coulibaly L.	Lecce	C	7	68.81		Cartellini	Titolare	Affidabile	1.35	8.01	10.7	0.67	33	6.05	6.29	3	1	4		Parma Bologna Fiorentina
Akinsanmiro	Monza	C	7	68.81		Affidabile	Titolare		1.1	6.61	0	0.55	23	5.8	5.8	0	1	2		Lecce Venezia Atalanta
Bernabè	Parma	C	7	68.81		Titolare	Terza	Bonus	6.15	8.22	10.7	0.68	32	6.17	6.48	3	1	0		Lecce Sassuolo Milan
Pisilli	Roma	C	7	68.81		Scommessa	Scomm.	Subentrante	2.85	7.43	7.13	0.62	22	6.09	6.48	2	4	3		Lazio Napoli Juventus
Karlstrom	Udinese	C	7	68.81			Titolare	Inaffidabile	1.3	7.51	3.57	0.62	36	5.96	5.96	1	0	6		Genoa Lecce Milan
Unai Gomez	Udinese	C	7	68.81		Scommessa	Scomm.		1.95	Prezzo N.D.										Genoa Lecce Milan
Sow	Genoa	C	7	68.81		Scommessa	Quarta		1.35	Prezzo N.D.										Juventus Bologna Como
Elmas	Atalanta	C	7	68.81		Bonus	Scomm.	Subentrante	2.15	Prezzo N.D.										Frosinone, Bologna Cagliari
Monteiro J.	Lecce	C	7	68.81					1.3	Prezzo N.D.										Parma Bologna Fiorentina
Sarr P.	Juventus	C	7	68.81			Quarta		2.65	Prezzo N.D.										Torino Genoa Roma
Braganca	Torino	C	6	66.78					1	Prezzo N.D.										Juventus Lazio Lecce
Pobega	Bologna	C	6	66.78		Infortuni	Titolare		1.05	5.86	10.7	0.58	23	5.83	6.17	3	1	2		Atalanta Lecce Napoli
Winks	Cagliari	C	6	66.78			Titolare		1.05	Prezzo N.D.										Atalanta Fiorentina Venezia
Fazzini	Cagliari	C	6	66.78		Infortuni	Quarta	Bonus	4.95	4.9	0	0.49	12	5.88	5.83	0	0	2		Atalanta Fiorentina Venezia
Milla	Como	C	6	66.78			Quarta		2.95	Prezzo N.D.										Fiorentina Frosinone Genoa
Caqueret	Como	C	6	66.78		Scommessa		Bonus	1.2	6.49	7.13	0.65	28	6.11	6.41	2	4	3		Fiorentina Frosinone Genoa
Liberali	Como	C	6	66.78		Scommessa	Scomm.	Bonus	3.6	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Fiorentina Frosinone Genoa
Oulai	Fiorentina	C	6	66.78		Scommessa	Scomm.		1.95	Prezzo N.D.										Cagliari Como Lazio
Zerbin	Frosinone	C	6	66.78		Scommessa	Scomm.	Bonus	1.2	5.86	0	0.58	29	5.76	5.79	0	2	2		Atalanta Como Napoli
Ellertsson	Genoa	C	6	66.78		Scommessa	Titolare	Subentrante	1.2	6.13	3.57	0.61	35	5.84	5.91	1	1	1		Juventus Bologna Como
Zhegrova	Juventus	C	6	66.78		Scommessa	Scomm.	Bonus	1.85	4.99	0	0.5	12	5.96	5.96	0	0	1		Torino Genoa Roma
Pierotti	Lecce	C	6	66.78		Bonus	Titolare	Inaffidabile	1.4	6.35	3.57	0.63	37	5.8	5.85	1	1	4		Parma Bologna Fiorentina
Pessina	Monza	C	6	66.78		Rigorista	Scomm.	Cartellini	1.5	Prezzo N.D.										Lecce Venezia Atalanta
Nicolussi Caviglia	Parma	C	6	66.78		Cartellini			1.25	5.68	0	0.57	23	5.89	6.02	0	4	4		Lecce Sassuolo Milan
Matic	Sassuolo	C	6	66.78		Cartellini	Titolare		1.3	5.95	3.57	0.59	34	5.96	5.96	1	1	6		Inter Parma Bologna
Adzic	Sassuolo	C	6	66.78		Scommessa	Scomm.	Subentrante	4.75	5.06	3.57	0.51	4	6.12	6.88	1	0	0		Inter Parma Bologna
Bakola	Sassuolo	C	6	66.78		Affidabile	Quarta		1.65	4.67	0	0.47	3	6.17	6.17	0	0	0		Inter Parma Bologna
Cacciamani	Torino	C	6	66.78		Scommessa	Quarta		3.6	Prezzo N.D.										Juventus Lazio Lecce
Oristanio	Torino	C	6	66.78		Scommessa	Scomm.	Affidabile	1.5	5.41	3.57	0.54	18	5.78	5.92	1	0	1		Juventus Lazio Lecce
Piotrowski	Udinese	C	6	66.78		Scommessa	Titolare	Bonus	1.35	6.05	3.57	0.6	30	5.88	5.95	1	0	2		Genoa Lecce Milan
Basic	Venezia	C	6	66.78		Bonus	Quarta	Affidabile	1.45	6.02	7.13	0.6	23	6.09	6.43	2	3	0		Cagliari Monza Bologna
Tourè I.	Monza	C	6	66.78		Scommessa			1.05	Prezzo N.D.										Lecce Venezia Atalanta
Amondarain	Bologna	C	5	64.25					1.2	Prezzo N.D.										Atalanta Lecce Napoli
Felici	Cagliari	C	5	64.25		Scommessa		Bonus	1.1	4.36	7.13	0.54	11	6.05	6.55	2	1	3		Atalanta Fiorentina Venezia
Meichtry	Genoa	C	5	64.25		Scommessa			1.25	Prezzo N.D.										Juventus Bologna Como
Luis Henrique	Inter	C	5	64.25		Scommessa	Scomm.	Bonus	1.3	4.86	3.57	0.61	27	5.89	6.06	1	2	1		Milan Sassuolo Juventus
Dele-Bashiru	Lazio	C	5	64.25		Bonus		Scommessa	1.05	4.45	3.57	0.55	21	5.69	5.83	1	0	0		Roma Fiorentina Torino
Jashari	Milan	C	5	64.25		Scommessa	Scomm.	Affidabile	1.4	3.98	0	0.5	12	5.71	5.79	0	1	0		Inter Parma Cagliari
Keita M.	Parma	C	5	64.25		Inaffidabile	Titolare		1.2	5.23	3.57	0.65	36	6.01	6.06	1	1	1		Lecce Sassuolo Milan
Fitz-Jim	Torino	C	5	64.25		Scommessa	Titolare		1.85	Prezzo N.D.										Juventus Lazio Lecce
Gineitis	Torino	C	5	64.25		Inaffidabile	Titolare	Subentrante	1.1	4.51	0	0.56	27	5.87	5.81	0	1	5		Juventus Lazio Lecce
Busio	Venezia	C	5	64.25		Titolare	Quarta	Affidabile	2.8	Prezzo N.D.										Cagliari Monza Bologna
Sohm	Venezia	C	5	64.25		Bonus		Subentrante	1.15	4.35	0	0.54	24	5.65	5.62	0	1	3		Cagliari Monza Bologna
Perez K.	Venezia	C	5	64.25		Scommessa	Scomm.	Subentrante	1.2	Prezzo N.D.										Cagliari Monza Bologna
Cissè A.	Milan	C	5	64.25		Scommessa	Scomm.		8.1	Prezzo N.D.										Inter Parma Cagliari
De Roon	Roma	C	4	60.96		Cartellini		Affidabile	1.5	3.66	3.57	0.6	34	5.97	6	1	2	6		Lazio Napoli Juventus
Moro N.	Bologna	C	4	60.96					1.1	3.77	7.13	0.62	28	5.93	6.12	2	0	1		Atalanta Lecce Napoli
Dominguez B.	Sassuolo	C	4	60.96		Bonus	Scomm.	Subentrante	1.3	3.13	0	0.51	12	5.83	6.04	0	3	1		Inter Parma Bologna
Addai	Como	C	4	60.96		Bonus		Infortuni	1.15	3.37	10.7	0.55	12	5.96	6.54	3	0	4		Fiorentina Frosinone Genoa
Fabbian	Parma	C	4	60.96		Affidabile		Subentrante	1.6	3.53	7.13	0.58	22	5.8	6.05	2	0	2		Lecce Sassuolo Milan
Cichella	Frosinone	C	4	60.96					1.15	Prezzo N.D.										Atalanta Como Napoli
Koutsoupias	Frosinone	C	4	60.96		Scommessa		Cartellini	1.05	Prezzo N.D.										Atalanta Como Napoli
Fini	Frosinone	C	4	60.96						Prezzo N.D.										Atalanta Como Napoli
Amorim	Genoa	C	4	60.96					1.25	2.85	0	0.47	9	5.72	5.67	0	0	1		Juventus Bologna Como
Messias	Genoa	C	4	60.96		Subentrante	Scomm.	Scommessa	1.2	4.06	10.7	0.67	19	6.18	6.68	3	1	1		Juventus Bologna Como
Traorè Hj.	Genoa	C	4	60.96		Subentrante		Infortuni	1.25	Prezzo N.D.										Juventus Bologna Como
Mkhitaryan	Inter	C	4	60.96		Affidabile		Bonus	1.4	4.05	14.26	0.66	28	6.21	6.59	4	1	5		Milan Sassuolo Juventus
Douglas Luiz	Juventus	C	4	60.96		Scommessa	Scomm.		4.45	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Torino Genoa Roma
Cataldi	Lazio	C	4	60.96		Cartellini		Infortuni	1.05	4.21	10.7	0.69	27	6.07	6.41	3	3	6		Roma Fiorentina Torino
Ngom	Lecce	C	4	60.96					1.35	2.97	0	0.49	13	5.69	5.65	0	0	1		Parma Bologna Fiorentina
Berisha M.	Lecce	C	4	60.96		Infortuni	Scomm.	Affidabile	1.3	3.56	7.13	0.58	12	6.17	6.92	2	3	0		Parma Bologna Fiorentina
Gandelman	Lecce	C	4	60.96		Scommessa			1.2	3.5	7.13	0.57	16	5.97	6.41	2	1	0		Parma Bologna Fiorentina
Ricci S.	Como	C	4	60.96		Affidabile		Cartellini	1.25	3.75	3.57	0.62	28	6	6.18	1	3	3		Fiorentina Frosinone Genoa
Loftus-Cheek	Milan	C	4	60.96		Bonus	Scomm.	Infortuni	2.35	3.76	10.7	0.62	21	6.1	6.52	3	1	2		Inter Parma Cagliari
Folorunsho	Monza	C	4	60.96		Bonus	Quarta	Infortuni	1.5	3.7	7.13	0.61	26	6.04	6.21	2	0	3		Lecce Venezia Atalanta
Almqvist	Parma	C	4	60.96		Subentrante			1.15	3.01	0	0.49	9	5.94	6.06	0	1	0		Lecce Sassuolo Milan
Ilkhan	Torino	C	4	60.96		Inaffidabile			1.1	3.17	3.57	0.52	17	5.82	6	1	2	2		Juventus Lazio Lecce
Njie	Fiorentina	C	4	60.96		Scommessa	Scomm.	Affidabile	2.55	2.95	0	0.48	9	6	5.94	0	0	1		Cagliari Como Lazio
Miller L.	Udinese	C	4	60.96		Scommessa		Calci Piazzati	1.05	3.26	0	0.53	19	5.92	5.95	0	2	4		Genoa Lecce Milan
Grillitsch	Frosinone	C	4	60.96		Cartellini			1	Prezzo N.D.										Atalanta Como Napoli
Massolin	Cagliari	C	4	60.96					1.5	Prezzo N.D.										Atalanta Fiorentina Venezia
Fernandez T.	Venezia	C	3	56.34		Scommessa	Scomm.	Affidabile	1.1	Prezzo N.D.										Cagliari Monza Bologna
Sulemana I.	Sassuolo	C	3	56.34					0.95	2.22	3.57	0.53	18	5.69	5.78	1	0	3		Inter Parma Bologna
Deiola	Cagliari	C	3	56.34		Cartellini	Titolare	Inaffidabile	1.1	2.28	0	0.54	20	5.98	5.95	0	1	3		Atalanta Fiorentina Venezia
Brescianini	Fiorentina	C	3	56.34		Subentrante		Affidabile	1.3	2.43	7.13	0.57	18	5.97	6.31	2	1	2		Cagliari Como Lazio
Gelli F.	Frosinone	C	3	56.34					1.15	Prezzo N.D.										Atalanta Como Napoli
Masini	Frosinone	C	3	56.34		Scommessa			1.3	2.27	0	0.54	21	5.98	5.9	0	1	5		Atalanta Como Napoli
Stankovic A.	Inter	C	3	56.34		Scommessa		Subentrante	1.4	Prezzo N.D.										Milan Sassuolo Juventus
Gorter	Lecce	C	3	56.34			Titolare		1.1	1.77	0	0.42	1	5.5	5.5	0	0	0		Parma Bologna Fiorentina
Maleh	Lecce	C	3	56.34		Inaffidabile	Titolare	Cartellini	1.3	2.18	3.57	0.52	21	5.69	5.71	1	0	3		Parma Bologna Fiorentina
Musah	Milan	C	3	56.34		Scommessa	Quarta		1.2	2.28	3.57	0.54	16	5.94	6.09	1	0	1		Inter Parma Cagliari
Colombo L.	Monza	C	3	56.34		Subentrante			1.3	Prezzo N.D.										Lecce Venezia Atalanta
