nome	squadra	ruolo	pg1	mv1	fm1	gol1	assist1	amm1	gs1	pg2	mv2	fm2	gol2	gs2
Dovbyk	Bologna	A	13	6	6.77	3	1	0		32	6	7.19	12	
Esposito F.P.	Inter	A	31	6.26	7.02	7	3	1						
Pellegrino M.	Fiorentina	A	37	5.99	6.65	9	0	5		11	6.14	6.86	3	
Laurientè	Sassuolo	A	37	6.23	6.99	7	9	4						
Simeone	Torino	A	32	6.08	7.09	11	0	1		19	5.92	6.11	1	
Santos A.	Napoli	A	13	6.35	7.23	4	0	1						
Dybala	Roma	A	21	6.26	6.74	2	7	0		20	6.48	7.48	6	
Castro S.	Roma	A	35	5.93	6.51	7	1	3		33	6.17	6.76	8	
Raspadori	Atalanta	A	13	6.12	6.88	3	1	0		18	6.19	7.22	6	
Esposito Se.	Sassuolo	A	36	6.26	6.88	7	4	6		33	6.17	6.79	8	
Nkunku			26	5.94	6.87	7	3	0						
Pinamonti	Lazio	A	34	5.88	6.62	9	3	2		36	5.96	6.68	10	
Adams A.	Venezia	A												
Soulè	Roma	A	32	6.12	6.83	6	5	1						
Diao	Como	A	16	6	6.38	2	1	2		14	6.5	7.93	7	
Colombo	Genoa	A	37	5.92	6.41	7	1	2		36	5.9	6.39	6	
Dia			25	5.68	5.86	1	2	1		35	6.01	6.87	9	
Ratkov			7	5.64	5.64	0	0	0						
Lukaku			1	7	9.5	1	0	1		36	6.29	7.57	14	
Bowie	Sassuolo	A	14	5.96	6.79	4	0	1						
Ghedjemis	Frosinone	A												
Geubbels	Lecce	A												
Cutrone	Monza	A	14	5.71	5.93	1	0	0		33	6.02	6.67	7	
David			30	5.77	6.33	6	2	0						
Adams C.	Torino	A	32	5.98	6.64	6	3	0		35	6	6.76	9	
Yeboah J.	Venezia	A								28	5.91	5.98	1	
Rrahmani Al.	Venezia	A												
Dallinga			19	5.82	6.13	2	1	2		23	5.96	6.41	3	
Piccoli	Bologna	A	27	5.78	6.24	4	1	1		37	6	6.76	10	
Vitinha O.	Genoa	A	31	5.95	6.39	5	1	5		22	5.89	6.25	2	
Raimondo	Frosinone	A	1	6	6	0	0	0		1	6	6	0	
Bonny	Inter	A	27	6.15	6.83	5	4	1		37	6.03	6.51	6	
Stulic	Lecce	A	30	5.73	6.12	4	0	1						
Zapata D.	Torino	A	23	5.83	6.13	3	1	0		7	6.57	7.79	3	
Mutandwa										5	5.9	5.9	0	
Neres	Napoli	A	16	6.19	6.84	3	3	3		25	6.32	6.72	2	
Sulemana K.	Atalanta	A	21	6	6.24	2	1	4						
Boga	Juventus	A	13	6.19	7.15	4	1	1						
Noslin	Lazio	A	23	6.02	6.5	4	2	4		19	6	6.37	2	
Gimenez			15	5.5	5.53	0	1	2		12	5.88	6.75	5	
Maldini	Cagliari	A	18	5.94	6.31	2	1	1		27	6.02	6.59	6	
Mota	Monza	A								31	5.84	6.31	5	
Adorante	Venezia	A												
Camarda	Milan	A	18	5.67	5.64	1	0	1		6	5.92	5.92	0	
Frigan	Parma	A	0	0	0	0	0	0						
Mendy P.	Cagliari	A	8	5.94	6.62	2	0	1						
Kvernadze	Frosinone	A												
Havel	Genoa	A												
Borrelli	Cagliari	A	26	5.92	6.46	5	1	4						
Morata			17	5.5	5.21	0	0	2		16	6.09	6.88	5	
Giovane	Napoli	A	31	6	6.45	3	6	2						
Kulenovic	Torino	A	7	5.71	5.79	0	1	2						
Gueye	Udinese	A	13	5.77	5.92	1	0	2						
Varela G.	Monza	A												
Lang	Napoli	A	14	6.04	6.32	1	2	2						
Lucca	Napoli	A	9	5.72	6	1	0	1		33	6.11	7.05	12	
Kuhn			14	5.96	6.25	1	1	0						
Ekhator	Juventus	A	25	5.96	6.28	3	0	3		15	5.87	6.1	1	
N'Dri	Lecce	A	17	5.82	6.09	2	0	3		7	5.86	5.86	0	
Elphege	Parma	A	8	6	6.88	2	1	0						
Petagna			7	5.36	5.29	0	0	1		7	5.36	5.29	0	
Buksa														
Azon			0	0	0	0	0	0		0	0	0	0	
Lisman	Venezia	A												
Lauberbach	Venezia	A												
Albarracin			2	6	6	0	0	0						
Trepy	Cagliari	A	3	5.67	5.67	0	0	0						
Vaz			7	5.93	6.36	1	0	0						
Moro L.			6	5.58	5.5	0	0	1						
Bayo V.	Udinese	A	12	5.75	5.83	0	1	0						
Sommer		P	33	5.92	5.02			0	30	33	6.18	5.3		32
Audero		P	34	6.21	4.91			0	50	8	6	3.75		18
Montipò	Venezia	P	35	6.2	4.94			0	54					
Leali		P	22	6.16	4.84			2	27	29	6.16	5.1		31
Semper		P	25	6.06	4.38			0	42					
Ravaglia F.		P	17	6.21	4.38			4	29	12	6	4.83		14
Furlanetto		P	2	6.5	5			0	3	0	0	0		0
Guaita		P	0	0	0			0	0					
Radunovic	Cagliari	P	0	0	0			0	0	0	0	0		0
Nava		P	0	0	0			0	0	0	0	0		0
Martinelli T.		P	0	0	0			0	0	0	0	0		0
Siegrist		P	0	0	0			0	0	2	6.5	5.5		2
Rinaldi		P	1	7	6.5			1	0	0	0	0		0
Nicolas		P	6	5.92	3.58			0	14					
Scuffet		P	7	6.21	4.07			0	15	14	5.89	4.18		24
Zelezny		P	0	0	0			0	0					
Satalino	Sassuolo	P	0	0	0			0	0					
Donnarumma An.		P	0	0	0			0	0	0	0	0		0
Israel		P	9	5.89	3.83			1	18					
Popa		P	0	0	0			0	0	0	0	0		0
Sava		P	7	5.57	3.5			1	14	12	6.04	4.67		16
Perilli		P	3	6.17	3.83			0	7	2	6	5		2
Vasquez D.		P	0	0	0			0	0	32	6.02	4.67		45
Nunziante		P	0	0	0			0	0					
Silvestri		P	4	6.38	4.62			0	7	5	5.7	3.5		11
Toniolo		P	0	0	0			0	0					
Cavlina		P	0	0	0			0	0					
Ferrante		P	0	0	0			0	0					
Calligaris		P	0	0	0			0	0	0	0	0		0
Pannozzo		P	0	0	0			0	0					
Giacomone		P	0	0	0			0	0					
